Stazione;Data;Dato pluviometrico giornaliero 0-24
Abbadia S.Salvatore ;01/08/2021;4,8
Abbadia S.Salvatore ;02/08/2021;0
Abbadia S.Salvatore ;03/08/2021;0
Abbadia S.Salvatore ;04/08/2021;0
Abbadia S.Salvatore ;05/08/2021;0,6
Abbadia S.Salvatore ;06/08/2021;0
Abbadia S.Salvatore ;07/08/2021;0
Abbadia S.Salvatore ;08/08/2021;0
Abbadia S.Salvatore ;09/08/2021;0
Abbadia S.Salvatore ;10/08/2021;0
Abbadia S.Salvatore ;11/08/2021;0
Abbadia S.Salvatore ;12/08/2021;0
Abbadia S.Salvatore ;13/08/2021;0
Abbadia S.Salvatore ;14/08/2021;0
Abbadia S.Salvatore ;15/08/2021;0
Abbadia S.Salvatore ;16/08/2021;0
Abbadia S.Salvatore ;17/08/2021;0
Abbadia S.Salvatore ;18/08/2021;0
Abbadia S.Salvatore ;19/08/2021;0
Abbadia S.Salvatore ;20/08/2021;0
Abbadia S.Salvatore ;21/08/2021;0
Abbadia S.Salvatore ;22/08/2021;0
Abbadia S.Salvatore ;23/08/2021;0
Abbadia S.Salvatore ;24/08/2021;11,2
Abbadia S.Salvatore ;25/08/2021;4,7
Abbadia S.Salvatore ;26/08/2021;0
Abbadia S.Salvatore ;27/08/2021;0
Abbadia S.Salvatore ;28/08/2021;0,2
Abbadia S.Salvatore ;29/08/2021;0
Abbadia S.Salvatore ;30/08/2021;0
Abbadia S.Salvatore ;31/08/2021;9,1
Abbazia Trisulti ;01/08/2021;0
Abbazia Trisulti ;02/08/2021;0
Abbazia Trisulti ;03/08/2021;0
Abbazia Trisulti ;04/08/2021;0
Abbazia Trisulti ;05/08/2021;0
Abbazia Trisulti ;06/08/2021;0
Abbazia Trisulti ;07/08/2021;0
Abbazia Trisulti ;08/08/2021;0
Abbazia Trisulti ;09/08/2021;0
Abbazia Trisulti ;10/08/2021;0
Abbazia Trisulti ;11/08/2021;0
Abbazia Trisulti ;12/08/2021;0
Abbazia Trisulti ;13/08/2021;6,6
Abbazia Trisulti ;14/08/2021;0
Abbazia Trisulti ;15/08/2021;0
Abbazia Trisulti ;16/08/2021;0
Abbazia Trisulti ;17/08/2021;0
Abbazia Trisulti ;18/08/2021;36,2
Abbazia Trisulti ;19/08/2021;4
Abbazia Trisulti ;20/08/2021;0,8
Abbazia Trisulti ;21/08/2021;0
Abbazia Trisulti ;22/08/2021;0
Abbazia Trisulti ;23/08/2021;0
Abbazia Trisulti ;24/08/2021;0,8
Abbazia Trisulti ;25/08/2021;1,6
Abbazia Trisulti ;26/08/2021;6
Abbazia Trisulti ;27/08/2021;0
Abbazia Trisulti ;28/08/2021;0
Abbazia Trisulti ;29/08/2021;0
Abbazia Trisulti ;30/08/2021;0
Abbazia Trisulti ;31/08/2021;0
Acilia ;01/08/2021;0
Acilia ;02/08/2021;0
Acilia ;03/08/2021;0
Acilia ;04/08/2021;0
Acilia ;05/08/2021;0
Acilia ;06/08/2021;0
Acilia ;07/08/2021;0
Acilia ;08/08/2021;0
Acilia ;09/08/2021;0
Acilia ;10/08/2021;0,2
Acilia ;11/08/2021;0,4
Acilia ;12/08/2021;0
Acilia ;13/08/2021;0
Acilia ;14/08/2021;0
Acilia ;15/08/2021;0
Acilia ;16/08/2021;0
Acilia ;17/08/2021;0
Acilia ;18/08/2021;0
Acilia ;19/08/2021;0
Acilia ;20/08/2021;0
Acilia ;21/08/2021;0
Acilia ;22/08/2021;0
Acilia ;23/08/2021;0
Acilia ;24/08/2021;0
Acilia ;25/08/2021;0
Acilia ;26/08/2021;0
Acilia ;27/08/2021;0
Acilia ;28/08/2021;0
Acilia ;29/08/2021;0
Acilia ;30/08/2021;0
Acilia ;31/08/2021;0
Acqua Acetosa ;01/08/2021;0
Acqua Acetosa ;02/08/2021;0
Acqua Acetosa ;03/08/2021;0
Acqua Acetosa ;04/08/2021;0
Acqua Acetosa ;05/08/2021;0
Acqua Acetosa ;06/08/2021;0
Acqua Acetosa ;07/08/2021;0
Acqua Acetosa ;08/08/2021;0
Acqua Acetosa ;09/08/2021;0
Acqua Acetosa ;10/08/2021;0
Acqua Acetosa ;11/08/2021;0
Acqua Acetosa ;12/08/2021;0
Acqua Acetosa ;13/08/2021;0
Acqua Acetosa ;14/08/2021;0
Acqua Acetosa ;15/08/2021;0
Acqua Acetosa ;16/08/2021;0
Acqua Acetosa ;17/08/2021;0
Acqua Acetosa ;18/08/2021;0
Acqua Acetosa ;19/08/2021;0
Acqua Acetosa ;20/08/2021;0
Acqua Acetosa ;21/08/2021;0
Acqua Acetosa ;22/08/2021;0
Acqua Acetosa ;23/08/2021;0
Acqua Acetosa ;24/08/2021;23,6
Acqua Acetosa ;25/08/2021;0,2
Acqua Acetosa ;26/08/2021;0,2
Acqua Acetosa ;27/08/2021;0
Acqua Acetosa ;28/08/2021;1,6
Acqua Acetosa ;29/08/2021;0
Acqua Acetosa ;30/08/2021;0
Acqua Acetosa ;31/08/2021;0
Acquapendente ;01/08/2021;5,2
Acquapendente ;02/08/2021;0
Acquapendente ;03/08/2021;0
Acquapendente ;04/08/2021;0
Acquapendente ;05/08/2021;0
Acquapendente ;06/08/2021;0
Acquapendente ;07/08/2021;0
Acquapendente ;08/08/2021;0
Acquapendente ;09/08/2021;0
Acquapendente ;10/08/2021;0
Acquapendente ;11/08/2021;0
Acquapendente ;12/08/2021;0
Acquapendente ;13/08/2021;0
Acquapendente ;14/08/2021;0
Acquapendente ;15/08/2021;0
Acquapendente ;16/08/2021;0
Acquapendente ;17/08/2021;0
Acquapendente ;18/08/2021;0
Acquapendente ;19/08/2021;0
Acquapendente ;20/08/2021;4
Acquapendente ;21/08/2021;0
Acquapendente ;22/08/2021;0
Acquapendente ;23/08/2021;0,6
Acquapendente ;24/08/2021;0,2
Acquapendente ;25/08/2021;0
Acquapendente ;26/08/2021;0
Acquapendente ;27/08/2021;0
Acquapendente ;28/08/2021;0
Acquapendente ;29/08/2021;0
Acquapendente ;30/08/2021;0
Acquapendente ;31/08/2021;1,2
