Stazione;Data;Dato pluviometrico giornaliero 0-24
Abbadia S.Salvatore ;01/04/2023;0
Abbadia S.Salvatore ;02/04/2023;5
Abbadia S.Salvatore ;03/04/2023;0
Abbadia S.Salvatore ;04/04/2023;0
Abbadia S.Salvatore ;05/04/2023;0,4
Abbadia S.Salvatore ;06/04/2023;0
Abbadia S.Salvatore ;07/04/2023;11,4
Abbadia S.Salvatore ;08/04/2023;27,1
Abbadia S.Salvatore ;09/04/2023;0
Abbadia S.Salvatore ;10/04/2023;0
Abbadia S.Salvatore ;11/04/2023;0
Abbadia S.Salvatore ;12/04/2023;0
Abbadia S.Salvatore ;13/04/2023;14
Abbadia S.Salvatore ;14/04/2023;12
Abbadia S.Salvatore ;15/04/2023;23,8
Abbadia S.Salvatore ;16/04/2023;0
Abbadia S.Salvatore ;17/04/2023;0
Abbadia S.Salvatore ;18/04/2023;0,2
Abbadia S.Salvatore ;19/04/2023;5,8
Abbadia S.Salvatore ;20/04/2023;0
Abbadia S.Salvatore ;21/04/2023;0
Abbadia S.Salvatore ;22/04/2023;0
Abbadia S.Salvatore ;23/04/2023;0
Abbadia S.Salvatore ;24/04/2023;5,2
Abbadia S.Salvatore ;25/04/2023;0
Abbadia S.Salvatore ;26/04/2023;0
Abbadia S.Salvatore ;27/04/2023;0
Abbadia S.Salvatore ;28/04/2023;0
Abbadia S.Salvatore ;29/04/2023;0
Abbadia S.Salvatore ;30/04/2023;8,6
Abbazia Trisulti ;01/04/2023;1,4
Abbazia Trisulti ;02/04/2023;0
Abbazia Trisulti ;03/04/2023;0
Abbazia Trisulti ;04/04/2023;1,6
Abbazia Trisulti ;05/04/2023;4,4
Abbazia Trisulti ;06/04/2023;0
Abbazia Trisulti ;07/04/2023;0
Abbazia Trisulti ;08/04/2023;23,8
Abbazia Trisulti ;09/04/2023;0
Abbazia Trisulti ;10/04/2023;0
Abbazia Trisulti ;11/04/2023;0
Abbazia Trisulti ;12/04/2023;0
Abbazia Trisulti ;13/04/2023;4,4
Abbazia Trisulti ;14/04/2023;10
Abbazia Trisulti ;15/04/2023;43,4
Abbazia Trisulti ;16/04/2023;1,8
Abbazia Trisulti ;17/04/2023;0,2
Abbazia Trisulti ;18/04/2023;3,2
Abbazia Trisulti ;19/04/2023;1
Abbazia Trisulti ;20/04/2023;0
Abbazia Trisulti ;21/04/2023;2,4
Abbazia Trisulti ;22/04/2023;0
Abbazia Trisulti ;23/04/2023;0
Abbazia Trisulti ;24/04/2023;2,8
Abbazia Trisulti ;25/04/2023;2,4
Abbazia Trisulti ;26/04/2023;0
Abbazia Trisulti ;27/04/2023;0
Abbazia Trisulti ;28/04/2023;0
Abbazia Trisulti ;29/04/2023;0
Abbazia Trisulti ;30/04/2023;4
Acilia ;01/04/2023;0
Acilia ;02/04/2023;11,5
Acilia ;03/04/2023;0
Acilia ;04/04/2023;0
