Stazione;Data;Dato pluviometrico giornaliero 0-24
Abbadia S.Salvatore ;2019-02-01;58
Abbadia S.Salvatore ;2019-02-02;64,7
Abbadia S.Salvatore ;2019-02-03;13,8
Abbadia S.Salvatore ;2019-02-04;0,2
Abbadia S.Salvatore ;2019-02-05;0
Abbadia S.Salvatore ;2019-02-06;0
Abbadia S.Salvatore ;2019-02-07;0
Abbadia S.Salvatore ;2019-02-08;0
Abbadia S.Salvatore ;2019-02-09;0
Abbadia S.Salvatore ;2019-02-10;0
Abbadia S.Salvatore ;2019-02-11;0
Abbadia S.Salvatore ;2019-02-12;0
Abbadia S.Salvatore ;2019-02-13;0
Abbadia S.Salvatore ;2019-02-14;0
Abbadia S.Salvatore ;2019-02-15;0
Abbadia S.Salvatore ;2019-02-16;0
Abbadia S.Salvatore ;2019-02-17;0
Abbadia S.Salvatore ;2019-02-18;0
Abbadia S.Salvatore ;2019-02-19;0
Abbadia S.Salvatore ;2019-02-20;0
Abbadia S.Salvatore ;2019-02-21;0
Abbadia S.Salvatore ;2019-02-22;0
Abbadia S.Salvatore ;2019-02-23;0
Abbadia S.Salvatore ;2019-02-24;0
Abbadia S.Salvatore ;2019-02-25;0
Abbadia S.Salvatore ;2019-02-26;0
Abbadia S.Salvatore ;2019-02-27;0
Abbadia S.Salvatore ;2019-02-28;0
Abbazia Trisulti ;2019-02-01;23
Abbazia Trisulti ;2019-02-02;45,8
Abbazia Trisulti ;2019-02-03;32
Abbazia Trisulti ;2019-02-04;0,2
Abbazia Trisulti ;2019-02-05;0
Abbazia Trisulti ;2019-02-06;0
Abbazia Trisulti ;2019-02-07;0
Abbazia Trisulti ;2019-02-08;0
Abbazia Trisulti ;2019-02-09;0
Abbazia Trisulti ;2019-02-10;0
Abbazia Trisulti ;2019-02-11;3,6
Abbazia Trisulti ;2019-02-12;1
Abbazia Trisulti ;2019-02-13;0
Abbazia Trisulti ;2019-02-14;0
Abbazia Trisulti ;2019-02-15;0
Abbazia Trisulti ;2019-02-16;0
Abbazia Trisulti ;2019-02-17;0
Abbazia Trisulti ;2019-02-18;0
Abbazia Trisulti ;2019-02-19;0
Abbazia Trisulti ;2019-02-20;0
Abbazia Trisulti ;2019-02-21;0
Abbazia Trisulti ;2019-02-22;0
Abbazia Trisulti ;2019-02-23;0,4
Abbazia Trisulti ;2019-02-24;0
Abbazia Trisulti ;2019-02-25;0
Abbazia Trisulti ;2019-02-26;0
Abbazia Trisulti ;2019-02-27;0
Abbazia Trisulti ;2019-02-28;0
Acilia ;2019-02-01;-
Acilia ;2019-02-02;-
Acilia ;2019-02-03;-
Acilia ;2019-02-04;-
Acilia ;2019-02-05;-
Acilia ;2019-02-06;-
Acilia ;2019-02-07;-
Acilia ;2019-02-08;-
Acilia ;2019-02-09;-
Acilia ;2019-02-10;-
Acilia ;2019-02-11;-
Acilia ;2019-02-12;-
Acilia ;2019-02-13;-
Acilia ;2019-02-14;-
Acilia ;2019-02-15;-
Acilia ;2019-02-16;-
Acilia ;2019-02-17;-
Acilia ;2019-02-18;-
Acilia ;2019-02-19;-
Acilia ;2019-02-20;-
Acilia ;2019-02-21;-
Acilia ;2019-02-22;-
Acilia ;2019-02-23;-
Acilia ;2019-02-24;-
Acilia ;2019-02-25;-
Acilia ;2019-02-26;-
Acilia ;2019-02-27;-
Acilia ;2019-02-28;-
Acqua Acetosa ;2019-02-01;-
Acqua Acetosa ;2019-02-02;-
Acqua Acetosa ;2019-02-03;-
Acqua Acetosa ;2019-02-04;-
Acqua Acetosa ;2019-02-05;-
Acqua Acetosa ;2019-02-06;-
Acqua Acetosa ;2019-02-07;-
Acqua Acetosa ;2019-02-08;-
Acqua Acetosa ;2019-02-09;-
Acqua Acetosa ;2019-02-10;-
Acqua Acetosa ;2019-02-11;-
Acqua Acetosa ;2019-02-12;-
Acqua Acetosa ;2019-02-13;-
Acqua Acetosa ;2019-02-14;-
Acqua Acetosa ;2019-02-15;-
Acqua Acetosa ;2019-02-16;-
Acqua Acetosa ;2019-02-17;-
Acqua Acetosa ;2019-02-18;-
Acqua Acetosa ;2019-02-19;-
Acqua Acetosa ;2019-02-20;-
Acqua Acetosa ;2019-02-21;-
Acqua Acetosa ;2019-02-22;-
Acqua Acetosa ;2019-02-23;-
Acqua Acetosa ;2019-02-24;-
Acqua Acetosa ;2019-02-25;-
Acqua Acetosa ;2019-02-26;-
Acqua Acetosa ;2019-02-27;-
Acqua Acetosa ;2019-02-28;-
Acquapendente ;2019-02-01;23,4
Acquapendente ;2019-02-02;33,6
Acquapendente ;2019-02-03;10,6
Acquapendente ;2019-02-04;0
Acquapendente ;2019-02-05;0
Acquapendente ;2019-02-06;0
Acquapendente ;2019-02-07;0
Acquapendente ;2019-02-08;0
Acquapendente ;2019-02-09;0
Acquapendente ;2019-02-10;0
Acquapendente ;2019-02-11;0
Acquapendente ;2019-02-12;0
Acquapendente ;2019-02-13;0
Acquapendente ;2019-02-14;0
Acquapendente ;2019-02-15;0
