Stazione;Data;Dato pluviometrico giornaliero 0-24
Abbadia S.Salvatore ;01/01/2020;0
Abbadia S.Salvatore ;02/01/2020;0
Abbadia S.Salvatore ;03/01/2020;0
Abbadia S.Salvatore ;04/01/2020;1
Abbadia S.Salvatore ;05/01/2020;0
Abbadia S.Salvatore ;06/01/2020;0
Abbadia S.Salvatore ;07/01/2020;0
Abbadia S.Salvatore ;08/01/2020;0
Abbadia S.Salvatore ;09/01/2020;0
Abbadia S.Salvatore ;10/01/2020;0
Abbadia S.Salvatore ;11/01/2020;0
Abbadia S.Salvatore ;12/01/2020;0
Abbadia S.Salvatore ;13/01/2020;0
Abbadia S.Salvatore ;14/01/2020;0
Abbadia S.Salvatore ;15/01/2020;0
Abbadia S.Salvatore ;16/01/2020;0
Abbadia S.Salvatore ;17/01/2020;0
Abbadia S.Salvatore ;18/01/2020;20,2
Abbadia S.Salvatore ;19/01/2020;0
Abbadia S.Salvatore ;20/01/2020;0
Abbadia S.Salvatore ;21/01/2020;0
Abbadia S.Salvatore ;22/01/2020;0
Abbadia S.Salvatore ;23/01/2020;0
Abbadia S.Salvatore ;24/01/2020;6,6
Abbadia S.Salvatore ;25/01/2020;15,6
Abbadia S.Salvatore ;26/01/2020;0,2
Abbadia S.Salvatore ;27/01/2020;0,2
Abbadia S.Salvatore ;28/01/2020;0
Abbadia S.Salvatore ;29/01/2020;0
Abbadia S.Salvatore ;30/01/2020;0
Abbadia S.Salvatore ;31/01/2020;2,4
Abbazia Trisulti ;01/01/2020;0
Abbazia Trisulti ;02/01/2020;0
Abbazia Trisulti ;03/01/2020;0
Abbazia Trisulti ;04/01/2020;0
Abbazia Trisulti ;05/01/2020;0
Abbazia Trisulti ;06/01/2020;0
Abbazia Trisulti ;07/01/2020;0
Abbazia Trisulti ;08/01/2020;0
Abbazia Trisulti ;09/01/2020;0
Abbazia Trisulti ;10/01/2020;0
Abbazia Trisulti ;11/01/2020;0
Abbazia Trisulti ;12/01/2020;0
Abbazia Trisulti ;13/01/2020;0
Abbazia Trisulti ;14/01/2020;0
Abbazia Trisulti ;15/01/2020;0
Abbazia Trisulti ;16/01/2020;0
Abbazia Trisulti ;17/01/2020;0
Abbazia Trisulti ;18/01/2020;8
Abbazia Trisulti ;19/01/2020;0
Abbazia Trisulti ;20/01/2020;0
Abbazia Trisulti ;21/01/2020;0
Abbazia Trisulti ;22/01/2020;0
Abbazia Trisulti ;23/01/2020;0
Abbazia Trisulti ;24/01/2020;0
Abbazia Trisulti ;25/01/2020;12,8
Abbazia Trisulti ;26/01/2020;8
Abbazia Trisulti ;27/01/2020;2
Abbazia Trisulti ;28/01/2020;12,6
Abbazia Trisulti ;29/01/2020;0
Abbazia Trisulti ;30/01/2020;0
Abbazia Trisulti ;31/01/2020;0,2
Acilia ;01/01/2020;0
Acilia ;02/01/2020;0
Acilia ;03/01/2020;0
Acilia ;04/01/2020;-
Acilia ;05/01/2020;0
Acilia ;06/01/2020;0
Acilia ;07/01/2020;0
Acilia ;08/01/2020;0
Acilia ;09/01/2020;0
Acilia ;10/01/2020;0
Acilia ;11/01/2020;0
Acilia ;12/01/2020;0
Acilia ;13/01/2020;0
Acilia ;14/01/2020;0
Acilia ;15/01/2020;0
Acilia ;16/01/2020;0
Acilia ;17/01/2020;0
Acilia ;18/01/2020;20,6
Acilia ;19/01/2020;1,2
Acilia ;20/01/2020;0
Acilia ;21/01/2020;0
Acilia ;22/01/2020;0
Acilia ;23/01/2020;0,2
Acilia ;24/01/2020;1,4
Acilia ;25/01/2020;2,8
Acilia ;26/01/2020;0,2
Acilia ;27/01/2020;2,2
Acilia ;28/01/2020;0
Acilia ;29/01/2020;0
Acilia ;30/01/2020;0
Acilia ;31/01/2020;0
Acqua Acetosa ;01/01/2020;0
Acqua Acetosa ;02/01/2020;0
Acqua Acetosa ;03/01/2020;0
Acqua Acetosa ;04/01/2020;-
Acqua Acetosa ;05/01/2020;0,2
Acqua Acetosa ;06/01/2020;0
Acqua Acetosa ;07/01/2020;0
Acqua Acetosa ;08/01/2020;0
Acqua Acetosa ;09/01/2020;0
Acqua Acetosa ;10/01/2020;0
Acqua Acetosa ;11/01/2020;0
Acqua Acetosa ;12/01/2020;0,2
Acqua Acetosa ;13/01/2020;0
Acqua Acetosa ;14/01/2020;0
Acqua Acetosa ;15/01/2020;0
Acqua Acetosa ;16/01/2020;0
Acqua Acetosa ;17/01/2020;0
Acqua Acetosa ;18/01/2020;13,6
Acqua Acetosa ;19/01/2020;0
Acqua Acetosa ;20/01/2020;0
Acqua Acetosa ;21/01/2020;0
Acqua Acetosa ;22/01/2020;0
Acqua Acetosa ;23/01/2020;0
Acqua Acetosa ;24/01/2020;0
Acqua Acetosa ;25/01/2020;3,2
Acqua Acetosa ;26/01/2020;0
Acqua Acetosa ;27/01/2020;1,8
Acqua Acetosa ;28/01/2020;1
Acqua Acetosa ;29/01/2020;0
Acqua Acetosa ;30/01/2020;0,2
Acqua Acetosa ;31/01/2020;0
Acquapendente ;01/01/2020;0
Acquapendente ;02/01/2020;0
Acquapendente ;03/01/2020;0
Acquapendente ;04/01/2020;0
Acquapendente ;05/01/2020;0,2
Acquapendente ;06/01/2020;0
Acquapendente ;07/01/2020;0
Acquapendente ;08/01/2020;0
Acquapendente ;09/01/2020;0
Acquapendente ;10/01/2020;0
Acquapendente ;11/01/2020;0
Acquapendente ;12/01/2020;0
Acquapendente ;13/01/2020;0
Acquapendente ;14/01/2020;0
Acquapendente ;15/01/2020;0
Acquapendente ;16/01/2020;0
Acquapendente ;17/01/2020;0
Acquapendente ;18/01/2020;15,4
Acquapendente ;19/01/2020;0
Acquapendente ;20/01/2020;0
Acquapendente ;21/01/2020;0
Acquapendente ;22/01/2020;0
Acquapendente ;23/01/2020;0
Acquapendente ;24/01/2020;0,8
Acquapendente ;25/01/2020;10
Acquapendente ;26/01/2020;0,2
Acquapendente ;27/01/2020;0
Acquapendente ;28/01/2020;1,2
Acquapendente ;29/01/2020;0,2
Acquapendente ;30/01/2020;0
Acquapendente ;31/01/2020;-
Allumiere ;01/01/2020;0
Allumiere ;02/01/2020;0
Allumiere ;03/01/2020;0
Allumiere ;04/01/2020;0
Allumiere ;05/01/2020;0
Allumiere ;06/01/2020;0
Allumiere ;07/01/2020;0
Allumiere ;08/01/2020;0
Allumiere ;09/01/2020;0
Allumiere ;10/01/2020;0
Allumiere ;11/01/2020;0
Allumiere ;12/01/2020;0
Allumiere ;13/01/2020;0
Allumiere ;14/01/2020;0
Allumiere ;15/01/2020;0
Allumiere ;16/01/2020;0
Allumiere ;17/01/2020;0
Allumiere ;18/01/2020;12,1
Allumiere ;19/01/2020;0
Allumiere ;20/01/2020;0
Allumiere ;21/01/2020;0
Allumiere ;22/01/2020;0
Allumiere ;23/01/2020;0
Allumiere ;24/01/2020;1,8
Allumiere ;25/01/2020;18,1
Allumiere ;26/01/2020;4,8
Allumiere ;27/01/2020;1
Allumiere ;28/01/2020;0
Allumiere ;29/01/2020;0
Allumiere ;30/01/2020;0
Allumiere ;31/01/2020;1,4
Amaseno a Fossanova ;01/01/2020;0
Amaseno a Fossanova ;02/01/2020;0
Amaseno a Fossanova ;03/01/2020;0
Amaseno a Fossanova ;04/01/2020;0
Amaseno a Fossanova ;05/01/2020;0
Amaseno a Fossanova ;06/01/2020;0
Amaseno a Fossanova ;07/01/2020;0
Amaseno a Fossanova ;08/01/2020;0
Amaseno a Fossanova ;09/01/2020;0
Amaseno a Fossanova ;10/01/2020;0
Amaseno a Fossanova ;11/01/2020;0
Amaseno a Fossanova ;12/01/2020;0
Amaseno a Fossanova ;13/01/2020;0
Amaseno a Fossanova ;14/01/2020;0
Amaseno a Fossanova ;15/01/2020;0
Amaseno a Fossanova ;16/01/2020;0
Amaseno a Fossanova ;17/01/2020;0
Amaseno a Fossanova ;18/01/2020;8,4
Amaseno a Fossanova ;19/01/2020;0,2
Amaseno a Fossanova ;20/01/2020;0
Amaseno a Fossanova ;21/01/2020;0
Amaseno a Fossanova ;22/01/2020;0
Amaseno a Fossanova ;23/01/2020;0,2
Amaseno a Fossanova ;24/01/2020;0
Amaseno a Fossanova ;25/01/2020;17,7
Amaseno a Fossanova ;26/01/2020;20,4
Amaseno a Fossanova ;27/01/2020;2,6
Amaseno a Fossanova ;28/01/2020;0,2
Amaseno a Fossanova ;29/01/2020;0
Amaseno a Fossanova ;30/01/2020;0
Amaseno a Fossanova ;31/01/2020;0
Amatrice ;01/01/2020;0
Amatrice ;02/01/2020;0
Amatrice ;03/01/2020;0
Amatrice ;04/01/2020;0
Amatrice ;05/01/2020;0
Amatrice ;06/01/2020;0
Amatrice ;07/01/2020;0
Amatrice ;08/01/2020;0
Amatrice ;09/01/2020;0
Amatrice ;10/01/2020;0
Amatrice ;11/01/2020;0,2
Amatrice ;12/01/2020;0,2
Amatrice ;13/01/2020;0
Amatrice ;14/01/2020;0,2
Amatrice ;15/01/2020;0
Amatrice ;16/01/2020;0,2
Amatrice ;17/01/2020;0
Amatrice ;18/01/2020;3,4
Amatrice ;19/01/2020;0,2
Amatrice ;20/01/2020;0
Amatrice ;21/01/2020;0
Amatrice ;22/01/2020;0,2
Amatrice ;23/01/2020;0,2
Amatrice ;24/01/2020;0
Amatrice ;25/01/2020;2
Amatrice ;26/01/2020;0,2
Amatrice ;27/01/2020;0
Amatrice ;28/01/2020;0,6
Amatrice ;29/01/2020;0,8
Amatrice ;30/01/2020;0,2
