Stazione;Data;Dato pluviometrico giornaliero 0-24
Abbadia S.Salvatore ;01/06/2020;0
Abbadia S.Salvatore ;02/06/2020;0
Abbadia S.Salvatore ;03/06/2020;0,4
Abbadia S.Salvatore ;04/06/2020;25,2
Abbadia S.Salvatore ;05/06/2020;16,7
Abbadia S.Salvatore ;06/06/2020;0
Abbadia S.Salvatore ;07/06/2020;0
Abbadia S.Salvatore ;08/06/2020;93,7
Abbadia S.Salvatore ;09/06/2020;19,7
Abbadia S.Salvatore ;10/06/2020;15,4
Abbadia S.Salvatore ;11/06/2020;0,6
Abbadia S.Salvatore ;12/06/2020;0
Abbadia S.Salvatore ;13/06/2020;4,4
Abbadia S.Salvatore ;14/06/2020;0
Abbadia S.Salvatore ;15/06/2020;0
Abbadia S.Salvatore ;16/06/2020;7,3
Abbadia S.Salvatore ;17/06/2020;0
Abbadia S.Salvatore ;18/06/2020;0
Abbadia S.Salvatore ;19/06/2020;0
Abbadia S.Salvatore ;20/06/2020;0
Abbadia S.Salvatore ;21/06/2020;6,4
Abbadia S.Salvatore ;22/06/2020;0
Abbadia S.Salvatore ;23/06/2020;0
Abbadia S.Salvatore ;24/06/2020;0
Abbadia S.Salvatore ;25/06/2020;0
Abbadia S.Salvatore ;26/06/2020;0
Abbadia S.Salvatore ;27/06/2020;0
Abbadia S.Salvatore ;28/06/2020;0
Abbadia S.Salvatore ;29/06/2020;0
Abbadia S.Salvatore ;30/06/2020;0
Abbazia Trisulti ;01/06/2020;0,2
Abbazia Trisulti ;02/06/2020;0
Abbazia Trisulti ;03/06/2020;0
Abbazia Trisulti ;04/06/2020;0
Abbazia Trisulti ;05/06/2020;47,6
Abbazia Trisulti ;06/06/2020;0
Abbazia Trisulti ;07/06/2020;0
Abbazia Trisulti ;08/06/2020;4,4
Abbazia Trisulti ;09/06/2020;0
Abbazia Trisulti ;10/06/2020;5,6
Abbazia Trisulti ;11/06/2020;10,2
Abbazia Trisulti ;12/06/2020;0,2
Abbazia Trisulti ;13/06/2020;3
Abbazia Trisulti ;14/06/2020;0
Abbazia Trisulti ;15/06/2020;16
Abbazia Trisulti ;16/06/2020;44
Abbazia Trisulti ;17/06/2020;0,2
Abbazia Trisulti ;18/06/2020;0
Abbazia Trisulti ;19/06/2020;0
Abbazia Trisulti ;20/06/2020;0
