Stazione;Data;Dato pluviometrico giornaliero 0-24
Abbadia S.Salvatore ;01/07/2021;0
Abbadia S.Salvatore ;02/07/2021;0
Abbadia S.Salvatore ;03/07/2021;0
Abbadia S.Salvatore ;04/07/2021;0
Abbadia S.Salvatore ;05/07/2021;0
Abbadia S.Salvatore ;06/07/2021;0
Abbadia S.Salvatore ;07/07/2021;0
Abbadia S.Salvatore ;08/07/2021;0
Abbadia S.Salvatore ;09/07/2021;0
Abbadia S.Salvatore ;10/07/2021;0
Abbadia S.Salvatore ;11/07/2021;0
Abbadia S.Salvatore ;12/07/2021;0
Abbadia S.Salvatore ;13/07/2021;0
Abbadia S.Salvatore ;14/07/2021;0
Abbadia S.Salvatore ;15/07/2021;0,2
Abbadia S.Salvatore ;16/07/2021;19,1
Abbadia S.Salvatore ;17/07/2021;0,6
Abbadia S.Salvatore ;18/07/2021;0
Abbadia S.Salvatore ;19/07/2021;0
Abbadia S.Salvatore ;20/07/2021;0
Abbadia S.Salvatore ;21/07/2021;0
Abbadia S.Salvatore ;22/07/2021;0
Abbadia S.Salvatore ;23/07/2021;0
Abbadia S.Salvatore ;24/07/2021;0
Abbadia S.Salvatore ;25/07/2021;0
Abbadia S.Salvatore ;26/07/2021;0
Abbadia S.Salvatore ;27/07/2021;0
Abbadia S.Salvatore ;28/07/2021;0
Abbadia S.Salvatore ;29/07/2021;0
Abbadia S.Salvatore ;30/07/2021;0
Abbadia S.Salvatore ;31/07/2021;0
Abbazia Trisulti ;01/07/2021;0
Abbazia Trisulti ;02/07/2021;0
Abbazia Trisulti ;03/07/2021;0
Abbazia Trisulti ;04/07/2021;0
Abbazia Trisulti ;05/07/2021;0
Abbazia Trisulti ;06/07/2021;0
Abbazia Trisulti ;07/07/2021;0,2
Abbazia Trisulti ;08/07/2021;0
Abbazia Trisulti ;09/07/2021;0
Abbazia Trisulti ;10/07/2021;0
Abbazia Trisulti ;11/07/2021;0
Abbazia Trisulti ;12/07/2021;0
Abbazia Trisulti ;13/07/2021;0
Abbazia Trisulti ;14/07/2021;0
Abbazia Trisulti ;15/07/2021;0
Abbazia Trisulti ;16/07/2021;3,2
Abbazia Trisulti ;17/07/2021;6,6
Abbazia Trisulti ;18/07/2021;0,4
Abbazia Trisulti ;19/07/2021;0
Abbazia Trisulti ;20/07/2021;0
Abbazia Trisulti ;21/07/2021;2,4
Abbazia Trisulti ;22/07/2021;38,2
Abbazia Trisulti ;23/07/2021;0
Abbazia Trisulti ;24/07/2021;0
Abbazia Trisulti ;25/07/2021;0
Abbazia Trisulti ;26/07/2021;0
Abbazia Trisulti ;27/07/2021;0
Abbazia Trisulti ;28/07/2021;0
Abbazia Trisulti ;29/07/2021;0
Abbazia Trisulti ;30/07/2021;0
Abbazia Trisulti ;31/07/2021;0
Acilia ;01/07/2021;0
Acilia ;02/07/2021;0
Acilia ;03/07/2021;0
Acilia ;04/07/2021;0
Acilia ;05/07/2021;0
Acilia ;06/07/2021;0
Acilia ;07/07/2021;0
Acilia ;08/07/2021;0
Acilia ;09/07/2021;0
Acilia ;10/07/2021;0
Acilia ;11/07/2021;0
Acilia ;12/07/2021;0
Acilia ;13/07/2021;0
Acilia ;14/07/2021;0
Acilia ;15/07/2021;0
Acilia ;16/07/2021;0
Acilia ;17/07/2021;0
Acilia ;18/07/2021;0
Acilia ;19/07/2021;0
Acilia ;20/07/2021;0
Acilia ;21/07/2021;0
Acilia ;22/07/2021;0
Acilia ;23/07/2021;0
Acilia ;24/07/2021;0
Acilia ;25/07/2021;0
Acilia ;26/07/2021;0
Acilia ;27/07/2021;0
Acilia ;28/07/2021;0
Acilia ;29/07/2021;0
Acilia ;30/07/2021;0
Acilia ;31/07/2021;0
Acqua Acetosa ;01/07/2021;0
Acqua Acetosa ;02/07/2021;0
Acqua Acetosa ;03/07/2021;0
Acqua Acetosa ;04/07/2021;0
Acqua Acetosa ;05/07/2021;0
Acqua Acetosa ;06/07/2021;0
Acqua Acetosa ;07/07/2021;0
Acqua Acetosa ;08/07/2021;0
Acqua Acetosa ;09/07/2021;0
Acqua Acetosa ;10/07/2021;0
Acqua Acetosa ;11/07/2021;0
Acqua Acetosa ;12/07/2021;0
Acqua Acetosa ;13/07/2021;0
Acqua Acetosa ;14/07/2021;0
Acqua Acetosa ;15/07/2021;0
Acqua Acetosa ;16/07/2021;5
Acqua Acetosa ;17/07/2021;0
Acqua Acetosa ;18/07/2021;0
Acqua Acetosa ;19/07/2021;1,8
Acqua Acetosa ;20/07/2021;0
Acqua Acetosa ;21/07/2021;0
Acqua Acetosa ;22/07/2021;0
Acqua Acetosa ;23/07/2021;0
Acqua Acetosa ;24/07/2021;0
Acqua Acetosa ;25/07/2021;0
Acqua Acetosa ;26/07/2021;0
Acqua Acetosa ;27/07/2021;0
Acqua Acetosa ;28/07/2021;0
Acqua Acetosa ;29/07/2021;0
Acqua Acetosa ;30/07/2021;0
Acqua Acetosa ;31/07/2021;0
Acquapendente ;01/07/2021;0
Acquapendente ;02/07/2021;0
Acquapendente ;03/07/2021;0
Acquapendente ;04/07/2021;0
Acquapendente ;05/07/2021;0
Acquapendente ;06/07/2021;0
Acquapendente ;07/07/2021;0
Acquapendente ;08/07/2021;0
Acquapendente ;09/07/2021;0
Acquapendente ;10/07/2021;0
Acquapendente ;11/07/2021;0
Acquapendente ;12/07/2021;0
Acquapendente ;13/07/2021;0
Acquapendente ;14/07/2021;0
Acquapendente ;15/07/2021;0
Acquapendente ;16/07/2021;3,2
Acquapendente ;17/07/2021;0
Acquapendente ;18/07/2021;0
Acquapendente ;19/07/2021;0
Acquapendente ;20/07/2021;0
Acquapendente ;21/07/2021;0
Acquapendente ;22/07/2021;1
Acquapendente ;23/07/2021;0
Acquapendente ;24/07/2021;0
Acquapendente ;25/07/2021;0
Acquapendente ;26/07/2021;0
Acquapendente ;27/07/2021;0
Acquapendente ;28/07/2021;0
Acquapendente ;29/07/2021;0
Acquapendente ;30/07/2021;0
Acquapendente ;31/07/2021;0
Allumiere ;01/07/2021;0
Allumiere ;02/07/2021;0
Allumiere ;03/07/2021;0
Allumiere ;04/07/2021;0
Allumiere ;05/07/2021;0
Allumiere ;06/07/2021;0
Allumiere ;07/07/2021;0
Allumiere ;08/07/2021;0,2
Allumiere ;09/07/2021;0
Allumiere ;10/07/2021;0
Allumiere ;11/07/2021;0
Allumiere ;12/07/2021;0
Allumiere ;13/07/2021;0,6
Allumiere ;14/07/2021;0
Allumiere ;15/07/2021;0
Allumiere ;16/07/2021;3
Allumiere ;17/07/2021;0,4
Allumiere ;18/07/2021;0
Allumiere ;19/07/2021;0
Allumiere ;20/07/2021;0
Allumiere ;21/07/2021;0
Allumiere ;22/07/2021;0
Allumiere ;23/07/2021;0
Allumiere ;24/07/2021;0
Allumiere ;25/07/2021;0
Allumiere ;26/07/2021;0
Allumiere ;27/07/2021;0
Allumiere ;28/07/2021;0
Allumiere ;29/07/2021;0
Allumiere ;30/07/2021;0
Allumiere ;31/07/2021;0
Amaseno a Fossanova ;01/07/2021;0
Amaseno a Fossanova ;02/07/2021;0
Amaseno a Fossanova ;03/07/2021;0
Amaseno a Fossanova ;04/07/2021;0
Amaseno a Fossanova ;05/07/2021;0
Amaseno a Fossanova ;06/07/2021;0
Amaseno a Fossanova ;07/07/2021;0
Amaseno a Fossanova ;08/07/2021;0
Amaseno a Fossanova ;09/07/2021;0
Amaseno a Fossanova ;10/07/2021;0
Amaseno a Fossanova ;11/07/2021;0
Amaseno a Fossanova ;12/07/2021;0
Amaseno a Fossanova ;13/07/2021;0
Amaseno a Fossanova ;14/07/2021;0
Amaseno a Fossanova ;15/07/2021;0
Amaseno a Fossanova ;16/07/2021;0
Amaseno a Fossanova ;17/07/2021;1,8
Amaseno a Fossanova ;18/07/2021;0
Amaseno a Fossanova ;19/07/2021;0
Amaseno a Fossanova ;20/07/2021;0
Amaseno a Fossanova ;21/07/2021;0
Amaseno a Fossanova ;22/07/2021;0
Amaseno a Fossanova ;23/07/2021;0
Amaseno a Fossanova ;24/07/2021;0
Amaseno a Fossanova ;25/07/2021;0
Amaseno a Fossanova ;26/07/2021;0
Amaseno a Fossanova ;27/07/2021;0
Amaseno a Fossanova ;28/07/2021;0
Amaseno a Fossanova ;29/07/2021;0
Amaseno a Fossanova ;30/07/2021;0
Amaseno a Fossanova ;31/07/2021;0
Amatrice ;01/07/2021;0
Amatrice ;02/07/2021;0
Amatrice ;03/07/2021;0
Amatrice ;04/07/2021;0
Amatrice ;05/07/2021;0
Amatrice ;06/07/2021;0
Amatrice ;07/07/2021;0
Amatrice ;08/07/2021;0
Amatrice ;09/07/2021;0
Amatrice ;10/07/2021;0
Amatrice ;11/07/2021;0
Amatrice ;12/07/2021;0
Amatrice ;13/07/2021;6
Amatrice ;14/07/2021;0
Amatrice ;15/07/2021;0
Amatrice ;16/07/2021;8,6
Amatrice ;17/07/2021;41,7
Amatrice ;18/07/2021;8,4
Amatrice ;19/07/2021;8,4
Amatrice ;20/07/2021;0,2
Amatrice ;21/07/2021;0
Amatrice ;22/07/2021;0
Amatrice ;23/07/2021;0
Amatrice ;24/07/2021;0
Amatrice ;25/07/2021;0,2
Amatrice ;26/07/2021;0,2
Amatrice ;27/07/2021;0
Amatrice ;28/07/2021;0
Amatrice ;29/07/2021;0
Amatrice ;30/07/2021;0
Amatrice ;31/07/2021;0
Aniene a Lunghezza ;01/07/2021;0
Aniene a Lunghezza ;02/07/2021;0
Aniene a Lunghezza ;03/07/2021;0
Aniene a Lunghezza ;04/07/2021;0
Aniene a Lunghezza ;05/07/2021;0
Aniene a Lunghezza ;06/07/2021;0
Aniene a Lunghezza ;07/07/2021;0
Aniene a Lunghezza ;08/07/2021;0
Aniene a Lunghezza ;09/07/2021;0
Aniene a Lunghezza ;10/07/2021;0
Aniene a Lunghezza ;11/07/2021;0
Aniene a Lunghezza ;12/07/2021;0
Aniene a Lunghezza ;13/07/2021;0,2
Aniene a Lunghezza ;14/07/2021;0
Aniene a Lunghezza ;15/07/2021;0
Aniene a Lunghezza ;16/07/2021;4,4
Aniene a Lunghezza ;17/07/2021;0,2
Aniene a Lunghezza ;18/07/2021;0
Aniene a Lunghezza ;19/07/2021;0
Aniene a Lunghezza ;20/07/2021;0
Aniene a Lunghezza ;21/07/2021;0
Aniene a Lunghezza ;22/07/2021;0
Aniene a Lunghezza ;23/07/2021;0
Aniene a Lunghezza ;24/07/2021;0
Aniene a Lunghezza ;25/07/2021;0
Aniene a Lunghezza ;26/07/2021;0
Aniene a Lunghezza ;27/07/2021;0
Aniene a Lunghezza ;28/07/2021;0
Aniene a Lunghezza ;29/07/2021;0
Aniene a Lunghezza ;30/07/2021;0
Aniene a Lunghezza ;31/07/2021;0
Aniene a Marano Equo ;01/07/2021;0
Aniene a Marano Equo ;02/07/2021;0
Aniene a Marano Equo ;03/07/2021;0
Aniene a Marano Equo ;04/07/2021;0
