Stazione;Data;Dato pluviometrico giornaliero 0-24
Abbadia S.Salvatore ;01/05/2019;4,6
Abbadia S.Salvatore ;02/05/2019;0
Abbadia S.Salvatore ;03/05/2019;0
Abbadia S.Salvatore ;04/05/2019;2,8
Abbadia S.Salvatore ;05/05/2019;7,8
Abbadia S.Salvatore ;06/05/2019;1,2
Abbadia S.Salvatore ;07/05/2019;0
Abbadia S.Salvatore ;08/05/2019;0,2
Abbadia S.Salvatore ;09/05/2019;7,6
Abbadia S.Salvatore ;10/05/2019;0
Abbadia S.Salvatore ;11/05/2019;10,2
Abbadia S.Salvatore ;12/05/2019;8,8
Abbadia S.Salvatore ;13/05/2019;17,8
Abbadia S.Salvatore ;14/05/2019;0
Abbadia S.Salvatore ;15/05/2019;1,2
Abbadia S.Salvatore ;16/05/2019;0
Abbadia S.Salvatore ;17/05/2019;0
Abbadia S.Salvatore ;18/05/2019;33,1
Abbadia S.Salvatore ;19/05/2019;34,4
Abbadia S.Salvatore ;20/05/2019;0,8
Abbadia S.Salvatore ;21/05/2019;3,6
Abbadia S.Salvatore ;22/05/2019;13,9
Abbadia S.Salvatore ;23/05/2019;0,2
Abbadia S.Salvatore ;24/05/2019;0
Abbadia S.Salvatore ;25/05/2019;0
Abbadia S.Salvatore ;26/05/2019;38,2
Abbadia S.Salvatore ;27/05/2019;18,5
Abbadia S.Salvatore ;28/05/2019;6,7
Abbadia S.Salvatore ;29/05/2019;19,3
Abbadia S.Salvatore ;30/05/2019;0,2
Abbadia S.Salvatore ;31/05/2019;0
Abbazia Trisulti ;01/05/2019;0,6
Abbazia Trisulti ;02/05/2019;4,2
Abbazia Trisulti ;03/05/2019;0
Abbazia Trisulti ;04/05/2019;7,2
Abbazia Trisulti ;05/05/2019;9,6
Abbazia Trisulti ;06/05/2019;6,6
Abbazia Trisulti ;07/05/2019;0
Abbazia Trisulti ;08/05/2019;0
Abbazia Trisulti ;09/05/2019;2
Abbazia Trisulti ;10/05/2019;0
Abbazia Trisulti ;11/05/2019;0
Abbazia Trisulti ;12/05/2019;15
Abbazia Trisulti ;13/05/2019;3,2
Abbazia Trisulti ;14/05/2019;5
Abbazia Trisulti ;15/05/2019;23,2
Abbazia Trisulti ;16/05/2019;0
Abbazia Trisulti ;17/05/2019;0
Abbazia Trisulti ;18/05/2019;8,2
Abbazia Trisulti ;19/05/2019;10,4
Abbazia Trisulti ;20/05/2019;9,2
Abbazia Trisulti ;21/05/2019;9,8
Abbazia Trisulti ;22/05/2019;0,8
Abbazia Trisulti ;23/05/2019;4,8
Abbazia Trisulti ;24/05/2019;9,8
Abbazia Trisulti ;25/05/2019;0,4
Abbazia Trisulti ;26/05/2019;16
Abbazia Trisulti ;27/05/2019;38,8
Abbazia Trisulti ;28/05/2019;5,2
Abbazia Trisulti ;29/05/2019;14,2
Abbazia Trisulti ;30/05/2019;2,6
Abbazia Trisulti ;31/05/2019;0
Acilia ;01/05/2019;4
Acilia ;02/05/2019;0,2
Acilia ;03/05/2019;1,8
Acilia ;04/05/2019;17,8
Acilia ;05/05/2019;11,4
Acilia ;06/05/2019;0
Acilia ;07/05/2019;0
Acilia ;08/05/2019;0
Acilia ;09/05/2019;0
Acilia ;10/05/2019;0,2
Acilia ;11/05/2019;0
Acilia ;12/05/2019;0,4
Acilia ;13/05/2019;0,4
Acilia ;14/05/2019;4,2
Acilia ;15/05/2019;22,2
Acilia ;16/05/2019;0
Acilia ;17/05/2019;0
Acilia ;18/05/2019;7,4
Acilia ;19/05/2019;11,2
Acilia ;20/05/2019;20,8
Acilia ;21/05/2019;0,4
Acilia ;22/05/2019;0
Acilia ;23/05/2019;0
Acilia ;24/05/2019;0
Acilia ;25/05/2019;0
Acilia ;26/05/2019;11,4
Acilia ;27/05/2019;11,2
Acilia ;28/05/2019;1,8
Acilia ;29/05/2019;0
Acilia ;30/05/2019;4,4
Acilia ;31/05/2019;0
Acqua Acetosa ;01/05/2019;3
Acqua Acetosa ;02/05/2019;0,2
Acqua Acetosa ;03/05/2019;0,6
Acqua Acetosa ;04/05/2019;11,2
Acqua Acetosa ;05/05/2019;10,4
Acqua Acetosa ;06/05/2019;0,2
Acqua Acetosa ;07/05/2019;0
Acqua Acetosa ;08/05/2019;0
Acqua Acetosa ;09/05/2019;0,2
Acqua Acetosa ;10/05/2019;0
Acqua Acetosa ;11/05/2019;0
Acqua Acetosa ;12/05/2019;6
Acqua Acetosa ;13/05/2019;0,2
Acqua Acetosa ;14/05/2019;0,2
Acqua Acetosa ;15/05/2019;14,6
Acqua Acetosa ;16/05/2019;0
Acqua Acetosa ;17/05/2019;0
Acqua Acetosa ;18/05/2019;4,6
Acqua Acetosa ;19/05/2019;11,6
Acqua Acetosa ;20/05/2019;6
Acqua Acetosa ;21/05/2019;0
Acqua Acetosa ;22/05/2019;0
Acqua Acetosa ;23/05/2019;0
Acqua Acetosa ;24/05/2019;0
Acqua Acetosa ;25/05/2019;0
Acqua Acetosa ;26/05/2019;13
Acqua Acetosa ;27/05/2019;14
Acqua Acetosa ;28/05/2019;1
Acqua Acetosa ;29/05/2019;1,4
Acqua Acetosa ;30/05/2019;0,6
Acqua Acetosa ;31/05/2019;0
Acquapendente ;01/05/2019;0
Acquapendente ;02/05/2019;0
Acquapendente ;03/05/2019;0
Acquapendente ;04/05/2019;1
Acquapendente ;05/05/2019;2,8
Acquapendente ;06/05/2019;0,6
Acquapendente ;07/05/2019;0
Acquapendente ;08/05/2019;0
Acquapendente ;09/05/2019;4
Acquapendente ;10/05/2019;0
Acquapendente ;11/05/2019;6,2
Acquapendente ;12/05/2019;6,2
Acquapendente ;13/05/2019;9,4
Acquapendente ;14/05/2019;0
Acquapendente ;15/05/2019;2,2
Acquapendente ;16/05/2019;0
Acquapendente ;17/05/2019;0
Acquapendente ;18/05/2019;29
Acquapendente ;19/05/2019;29,4
Acquapendente ;20/05/2019;1,6
Acquapendente ;21/05/2019;0,6
Acquapendente ;22/05/2019;1
Acquapendente ;23/05/2019;0,4
Acquapendente ;24/05/2019;0,2
Acquapendente ;25/05/2019;2,2
Acquapendente ;26/05/2019;21,8
Acquapendente ;27/05/2019;19,2
Acquapendente ;28/05/2019;0,4
Acquapendente ;29/05/2019;31,8
Acquapendente ;30/05/2019;0
Acquapendente ;31/05/2019;0
Allumiere ;01/05/2019;1,2
Allumiere ;02/05/2019;0
Allumiere ;03/05/2019;0,6
Allumiere ;04/05/2019;16,2
Allumiere ;05/05/2019;9,6
Allumiere ;06/05/2019;0,2
Allumiere ;07/05/2019;0
Allumiere ;08/05/2019;0
Allumiere ;09/05/2019;3,4
Allumiere ;10/05/2019;0
Allumiere ;11/05/2019;0
Allumiere ;12/05/2019;31
Allumiere ;13/05/2019;0,2
Allumiere ;14/05/2019;0
Allumiere ;15/05/2019;13,4
Allumiere ;16/05/2019;0,2
Allumiere ;17/05/2019;0
Allumiere ;18/05/2019;11,7
Allumiere ;19/05/2019;38,2
Allumiere ;20/05/2019;4,2
Allumiere ;21/05/2019;0
Allumiere ;22/05/2019;0
Allumiere ;23/05/2019;0
Allumiere ;24/05/2019;0
Allumiere ;25/05/2019;0
Allumiere ;26/05/2019;12,4
Allumiere ;27/05/2019;16,6
Allumiere ;28/05/2019;1
Allumiere ;29/05/2019;1,8
Allumiere ;30/05/2019;7,4
Allumiere ;31/05/2019;0
Amaseno a Fossanova ;01/05/2019;7
Amaseno a Fossanova ;02/05/2019;0,2
Amaseno a Fossanova ;03/05/2019;0
Amaseno a Fossanova ;04/05/2019;25,3
Amaseno a Fossanova ;05/05/2019;8,7
Amaseno a Fossanova ;06/05/2019;3
Amaseno a Fossanova ;07/05/2019;0
Amaseno a Fossanova ;08/05/2019;0
Amaseno a Fossanova ;09/05/2019;0
Amaseno a Fossanova ;10/05/2019;0
Amaseno a Fossanova ;11/05/2019;0
Amaseno a Fossanova ;12/05/2019;2,4
Amaseno a Fossanova ;13/05/2019;0
Amaseno a Fossanova ;14/05/2019;6,2
Amaseno a Fossanova ;15/05/2019;21,8
Amaseno a Fossanova ;16/05/2019;0
Amaseno a Fossanova ;17/05/2019;0
Amaseno a Fossanova ;18/05/2019;3,6
Amaseno a Fossanova ;19/05/2019;3,1
Amaseno a Fossanova ;20/05/2019;5,4
Amaseno a Fossanova ;21/05/2019;8,8
Amaseno a Fossanova ;22/05/2019;0
Amaseno a Fossanova ;23/05/2019;0
Amaseno a Fossanova ;24/05/2019;0,2
Amaseno a Fossanova ;25/05/2019;3,4
Amaseno a Fossanova ;26/05/2019;9,4
Amaseno a Fossanova ;27/05/2019;20,6
Amaseno a Fossanova ;28/05/2019;0
Amaseno a Fossanova ;29/05/2019;2,9
Amaseno a Fossanova ;30/05/2019;0,2
Amaseno a Fossanova ;31/05/2019;10
Amatrice ;01/05/2019;1,2
Amatrice ;02/05/2019;0
Amatrice ;03/05/2019;0
Amatrice ;04/05/2019;9,8
Amatrice ;05/05/2019;7,2
Amatrice ;06/05/2019;4
Amatrice ;07/05/2019;0
Amatrice ;08/05/2019;0
Amatrice ;09/05/2019;2,8
Amatrice ;10/05/2019;0
Amatrice ;11/05/2019;0
Amatrice ;12/05/2019;16,8
Amatrice ;13/05/2019;22
Amatrice ;14/05/2019;7,8
Amatrice ;15/05/2019;0
Amatrice ;16/05/2019;7,2
Amatrice ;17/05/2019;0
Amatrice ;18/05/2019;4,2
Amatrice ;19/05/2019;3
Amatrice ;20/05/2019;1,2
Amatrice ;21/05/2019;0,6
Amatrice ;22/05/2019;5,7
Amatrice ;23/05/2019;2,4
Amatrice ;24/05/2019;0
Amatrice ;25/05/2019;0
Amatrice ;26/05/2019;8,2
