Stazione;Data;Dato pluviometrico giornaliero 0-24
Abbadia S.Salvatore ;01/11/2021;47,1
Abbadia S.Salvatore ;02/11/2021;0
Abbadia S.Salvatore ;03/11/2021;6,2
Abbadia S.Salvatore ;04/11/2021;2,8
Abbadia S.Salvatore ;05/11/2021;0,8
Abbadia S.Salvatore ;06/11/2021;9,8
Abbadia S.Salvatore ;07/11/2021;21,6
Abbadia S.Salvatore ;08/11/2021;0,2
Abbadia S.Salvatore ;09/11/2021;4,2
Abbadia S.Salvatore ;10/11/2021;7,5
Abbadia S.Salvatore ;11/11/2021;2,4
Abbadia S.Salvatore ;12/11/2021;0
Abbadia S.Salvatore ;13/11/2021;10,7
Abbadia S.Salvatore ;14/11/2021;11
Abbadia S.Salvatore ;15/11/2021;5,4
Abbadia S.Salvatore ;16/11/2021;14
Abbadia S.Salvatore ;17/11/2021;0,2
Abbadia S.Salvatore ;18/11/2021;0
Abbadia S.Salvatore ;19/11/2021;0
Abbadia S.Salvatore ;20/11/2021;0
Abbadia S.Salvatore ;21/11/2021;0
Abbadia S.Salvatore ;22/11/2021;0
Abbadia S.Salvatore ;23/11/2021;0
Abbadia S.Salvatore ;24/11/2021;0
Abbadia S.Salvatore ;25/11/2021;17,8
Abbadia S.Salvatore ;26/11/2021;8,8
Abbadia S.Salvatore ;27/11/2021;10
Abbadia S.Salvatore ;28/11/2021;19,6
Abbadia S.Salvatore ;29/11/2021;16,2
Abbadia S.Salvatore ;30/11/2021;0
Abbazia Trisulti ;01/11/2021;26
Abbazia Trisulti ;02/11/2021;1,4
Abbazia Trisulti ;03/11/2021;36,2
Abbazia Trisulti ;04/11/2021;9
Abbazia Trisulti ;05/11/2021;1,4
Abbazia Trisulti ;06/11/2021;8,4
Abbazia Trisulti ;07/11/2021;0,2
Abbazia Trisulti ;08/11/2021;15,2
Abbazia Trisulti ;09/11/2021;0
Abbazia Trisulti ;10/11/2021;4,8
Abbazia Trisulti ;11/11/2021;0,2
Abbazia Trisulti ;12/11/2021;2,6
Abbazia Trisulti ;13/11/2021;9,6
Abbazia Trisulti ;14/11/2021;0,8
Abbazia Trisulti ;15/11/2021;0
Abbazia Trisulti ;16/11/2021;9,2
Abbazia Trisulti ;17/11/2021;0,2
Abbazia Trisulti ;18/11/2021;0
Abbazia Trisulti ;19/11/2021;0
Abbazia Trisulti ;20/11/2021;0
Abbazia Trisulti ;21/11/2021;0
Abbazia Trisulti ;22/11/2021;9,2
Abbazia Trisulti ;23/11/2021;0,4
Abbazia Trisulti ;24/11/2021;0
Abbazia Trisulti ;25/11/2021;42,4
Abbazia Trisulti ;26/11/2021;16,4
Abbazia Trisulti ;27/11/2021;16,2
Abbazia Trisulti ;28/11/2021;19,2
Abbazia Trisulti ;29/11/2021;11
Abbazia Trisulti ;30/11/2021;4,6
Acilia ;01/11/2021;13,4
Acilia ;02/11/2021;0
Acilia ;03/11/2021;47
Acilia ;04/11/2021;0
Acilia ;05/11/2021;0
Acilia ;06/11/2021;17,4
Acilia ;07/11/2021;0
Acilia ;08/11/2021;27,2
Acilia ;09/11/2021;2
Acilia ;10/11/2021;10,6
Acilia ;11/11/2021;20,6
Acilia ;12/11/2021;11,8
Acilia ;13/11/2021;0,2
Acilia ;14/11/2021;20
Acilia ;15/11/2021;15,4
Acilia ;16/11/2021;6,4
Acilia ;17/11/2021;3,6
Acilia ;18/11/2021;0
Acilia ;19/11/2021;0
Acilia ;20/11/2021;0
Acilia ;21/11/2021;0
Acilia ;22/11/2021;3,4
Acilia ;23/11/2021;0
Acilia ;24/11/2021;0
Acilia ;25/11/2021;35,6
Acilia ;26/11/2021;11,8
Acilia ;27/11/2021;2
Acilia ;28/11/2021;0,4
Acilia ;29/11/2021;4
Acilia ;30/11/2021;0
Acqua Acetosa ;01/11/2021;16,8
Acqua Acetosa ;02/11/2021;0,2
Acqua Acetosa ;03/11/2021;37,2
Acqua Acetosa ;04/11/2021;0
Acqua Acetosa ;05/11/2021;0
Acqua Acetosa ;06/11/2021;22,4
Acqua Acetosa ;07/11/2021;0
Acqua Acetosa ;08/11/2021;18,8
Acqua Acetosa ;09/11/2021;0,6
Acqua Acetosa ;10/11/2021;9,6
Acqua Acetosa ;11/11/2021;25,6
Acqua Acetosa ;12/11/2021;5,2
Acqua Acetosa ;13/11/2021;0,2
Acqua Acetosa ;14/11/2021;18,2
Acqua Acetosa ;15/11/2021;1,6
Acqua Acetosa ;16/11/2021;5,2
Acqua Acetosa ;17/11/2021;0,2
Acqua Acetosa ;18/11/2021;0
Acqua Acetosa ;19/11/2021;0
Acqua Acetosa ;20/11/2021;0
Acqua Acetosa ;21/11/2021;0
Acqua Acetosa ;22/11/2021;1,6
Acqua Acetosa ;23/11/2021;0
Acqua Acetosa ;24/11/2021;0
Acqua Acetosa ;25/11/2021;29,8
Acqua Acetosa ;26/11/2021;13,6
Acqua Acetosa ;27/11/2021;3,8
Acqua Acetosa ;28/11/2021;6,8
Acqua Acetosa ;29/11/2021;3,8
Acqua Acetosa ;30/11/2021;0
Acquapendente ;01/11/2021;-
Acquapendente ;02/11/2021;-
Acquapendente ;03/11/2021;-
Acquapendente ;04/11/2021;-
Acquapendente ;05/11/2021;-
Acquapendente ;06/11/2021;-
Acquapendente ;07/11/2021;-
Acquapendente ;08/11/2021;-
Acquapendente ;09/11/2021;-
Acquapendente ;10/11/2021;-
Acquapendente ;11/11/2021;-
Acquapendente ;12/11/2021;-
Acquapendente ;13/11/2021;-
Acquapendente ;14/11/2021;-
Acquapendente ;15/11/2021;-
Acquapendente ;16/11/2021;-
Acquapendente ;17/11/2021;-
Acquapendente ;18/11/2021;-
Acquapendente ;19/11/2021;-
Acquapendente ;20/11/2021;-
Acquapendente ;21/11/2021;-
Acquapendente ;22/11/2021;-
Acquapendente ;23/11/2021;-
Acquapendente ;24/11/2021;-
Acquapendente ;25/11/2021;-
Acquapendente ;26/11/2021;-
Acquapendente ;27/11/2021;-
Acquapendente ;28/11/2021;-
Acquapendente ;29/11/2021;-
Acquapendente ;30/11/2021;-
Allumiere ;01/11/2021;25,4
Allumiere ;02/11/2021;0
Allumiere ;03/11/2021;14,5
Allumiere ;04/11/2021;0,2
Allumiere ;05/11/2021;0,2
Allumiere ;06/11/2021;19,8
Allumiere ;07/11/2021;0
Allumiere ;08/11/2021;0
Allumiere ;09/11/2021;2,4
Allumiere ;10/11/2021;8,3
Allumiere ;11/11/2021;5,6
Allumiere ;12/11/2021;8,9
Allumiere ;13/11/2021;0,2
Allumiere ;14/11/2021;21,4
Allumiere ;15/11/2021;20,8
Allumiere ;16/11/2021;4,2
Allumiere ;17/11/2021;0,6
Allumiere ;18/11/2021;0
Allumiere ;19/11/2021;0
Allumiere ;20/11/2021;0
Allumiere ;21/11/2021;0
Allumiere ;22/11/2021;6
Allumiere ;23/11/2021;0
Allumiere ;24/11/2021;0
Allumiere ;25/11/2021;49,6
Allumiere ;26/11/2021;18,8
Allumiere ;27/11/2021;6,2
Allumiere ;28/11/2021;0,4
Allumiere ;29/11/2021;2,8
Allumiere ;30/11/2021;0
Amaseno a Fossanova ;01/11/2021;26,3
Amaseno a Fossanova ;02/11/2021;0,4
Amaseno a Fossanova ;03/11/2021;23,5
Amaseno a Fossanova ;04/11/2021;8,4
Amaseno a Fossanova ;05/11/2021;0
Amaseno a Fossanova ;06/11/2021;4,6
Amaseno a Fossanova ;07/11/2021;0,8
Amaseno a Fossanova ;08/11/2021;16,9
Amaseno a Fossanova ;09/11/2021;0
Amaseno a Fossanova ;10/11/2021;3,8
Amaseno a Fossanova ;11/11/2021;1
Amaseno a Fossanova ;12/11/2021;18,2
Amaseno a Fossanova ;13/11/2021;0,6
Amaseno a Fossanova ;14/11/2021;2
Amaseno a Fossanova ;15/11/2021;0,2
Amaseno a Fossanova ;16/11/2021;11,6
Amaseno a Fossanova ;17/11/2021;0,6
Amaseno a Fossanova ;18/11/2021;0
Amaseno a Fossanova ;19/11/2021;0,2
Amaseno a Fossanova ;20/11/2021;0,2
Amaseno a Fossanova ;21/11/2021;0,2
Amaseno a Fossanova ;22/11/2021;18,2
Amaseno a Fossanova ;23/11/2021;0,8
Amaseno a Fossanova ;24/11/2021;0
Amaseno a Fossanova ;25/11/2021;36,9
Amaseno a Fossanova ;26/11/2021;40,9
Amaseno a Fossanova ;27/11/2021;10,7
Amaseno a Fossanova ;28/11/2021;17,9
Amaseno a Fossanova ;29/11/2021;10,4
Amaseno a Fossanova ;30/11/2021;0,2
Amatrice ;01/11/2021;4,8
Amatrice ;02/11/2021;0,2
Amatrice ;03/11/2021;25
Amatrice ;04/11/2021;10
Amatrice ;05/11/2021;0,6
Amatrice ;06/11/2021;11,8
Amatrice ;07/11/2021;0,6
Amatrice ;08/11/2021;5
Amatrice ;09/11/2021;0
Amatrice ;10/11/2021;0
Amatrice ;11/11/2021;0
Amatrice ;12/11/2021;0
Amatrice ;13/11/2021;0,2
Amatrice ;14/11/2021;0
Amatrice ;15/11/2021;0,2
Amatrice ;16/11/2021;20,6
Amatrice ;17/11/2021;0
Amatrice ;18/11/2021;0,2
Amatrice ;19/11/2021;0
Amatrice ;20/11/2021;0
Amatrice ;21/11/2021;0
Amatrice ;22/11/2021;0,4
Amatrice ;23/11/2021;0,2
Amatrice ;24/11/2021;0
Amatrice ;25/11/2021;3,6
Amatrice ;26/11/2021;10,2
Amatrice ;27/11/2021;5,6
Amatrice ;28/11/2021;14,4
Amatrice ;29/11/2021;6,2
Amatrice ;30/11/2021;0,6
Aniene a Lunghezza ;01/11/2021;10,6
Aniene a Lunghezza ;02/11/2021;0,4
Aniene a Lunghezza ;03/11/2021;41,4
Aniene a Lunghezza ;04/11/2021;1,2
Aniene a Lunghezza ;05/11/2021;0,2
Aniene a Lunghezza ;06/11/2021;14,4
Aniene a Lunghezza ;07/11/2021;0
Aniene a Lunghezza ;08/11/2021;12,4
Aniene a Lunghezza ;09/11/2021;0,2
Aniene a Lunghezza ;10/11/2021;3,8
Aniene a Lunghezza ;11/11/2021;9,4
Aniene a Lunghezza ;12/11/2021;3,2
Aniene a Lunghezza ;13/11/2021;0
Aniene a Lunghezza ;14/11/2021;12,8
Aniene a Lunghezza ;15/11/2021;1
Aniene a Lunghezza ;16/11/2021;8,8
Aniene a Lunghezza ;17/11/2021;0,2
Aniene a Lunghezza ;18/11/2021;0
Aniene a Lunghezza ;19/11/2021;0
Aniene a Lunghezza ;20/11/2021;0
Aniene a Lunghezza ;21/11/2021;0,4
Aniene a Lunghezza ;22/11/2021;0,8
Aniene a Lunghezza ;23/11/2021;0
Aniene a Lunghezza ;24/11/2021;0,2
Aniene a Lunghezza ;25/11/2021;26,2
Aniene a Lunghezza ;26/11/2021;15,6
Aniene a Lunghezza ;27/11/2021;3,8
Aniene a Lunghezza ;28/11/2021;2
Aniene a Lunghezza ;29/11/2021;4,4
Aniene a Lunghezza ;30/11/2021;0,2
Aniene a Marano Equo ;01/11/2021;12
Aniene a Marano Equo ;02/11/2021;0,4
Aniene a Marano Equo ;03/11/2021;33,8
Aniene a Marano Equo ;04/11/2021;14,6
Aniene a Marano Equo ;05/11/2021;1
Aniene a Marano Equo ;06/11/2021;5,2
Aniene a Marano Equo ;07/11/2021;0,4
Aniene a Marano Equo ;08/11/2021;6
Aniene a Marano Equo ;09/11/2021;0
Aniene a Marano Equo ;10/11/2021;4,8
Aniene a Marano Equo ;11/11/2021;0,6
Aniene a Marano Equo ;12/11/2021;3,6
Aniene a Marano Equo ;13/11/2021;0,2
Aniene a Marano Equo ;14/11/2021;2,6
Aniene a Marano Equo ;15/11/2021;0,2
Aniene a Marano Equo ;16/11/2021;10
Aniene a Marano Equo ;17/11/2021;0,2
Aniene a Marano Equo ;18/11/2021;0,2
Aniene a Marano Equo ;19/11/2021;0
Aniene a Marano Equo ;20/11/2021;0,2
Aniene a Marano Equo ;21/11/2021;0,2
Aniene a Marano Equo ;22/11/2021;1
Aniene a Marano Equo ;23/11/2021;0,2
Aniene a Marano Equo ;24/11/2021;0
Aniene a Marano Equo ;25/11/2021;25,8
Aniene a Marano Equo ;26/11/2021;23,6
Aniene a Marano Equo ;27/11/2021;13,4
Aniene a Marano Equo ;28/11/2021;21
Aniene a Marano Equo ;29/11/2021;10,8
Aniene a Marano Equo ;30/11/2021;0,2
Aniene a Ponte Salario ;01/11/2021;14,9
Aniene a Ponte Salario ;02/11/2021;0,2
Aniene a Ponte Salario ;03/11/2021;35,3
Aniene a Ponte Salario ;04/11/2021;0,2
Aniene a Ponte Salario ;05/11/2021;0,2
Aniene a Ponte Salario ;06/11/2021;23
Aniene a Ponte Salario ;07/11/2021;0,2
Aniene a Ponte Salario ;08/11/2021;14,7
Aniene a Ponte Salario ;09/11/2021;0,4
Aniene a Ponte Salario ;10/11/2021;8,8
Aniene a Ponte Salario ;11/11/2021;17,4
Aniene a Ponte Salario ;12/11/2021;3,6
Aniene a Ponte Salario ;13/11/2021;0,2
Aniene a Ponte Salario ;14/11/2021;19
Aniene a Ponte Salario ;15/11/2021;1,6
Aniene a Ponte Salario ;16/11/2021;5,4
Aniene a Ponte Salario ;17/11/2021;0,2
Aniene a Ponte Salario ;18/11/2021;0
Aniene a Ponte Salario ;19/11/2021;0
Aniene a Ponte Salario ;20/11/2021;0,2
Aniene a Ponte Salario ;21/11/2021;0
Aniene a Ponte Salario ;22/11/2021;4,7
Aniene a Ponte Salario ;23/11/2021;0
Aniene a Ponte Salario ;24/11/2021;0
Aniene a Ponte Salario ;25/11/2021;29,4
Aniene a Ponte Salario ;26/11/2021;12,8
Aniene a Ponte Salario ;27/11/2021;4,2
Aniene a Ponte Salario ;28/11/2021;9,1
Aniene a Ponte Salario ;29/11/2021;4,4
Aniene a Ponte Salario ;30/11/2021;0
Aniene a Subiaco ;01/11/2021;13
Aniene a Subiaco ;02/11/2021;3,2
Aniene a Subiaco ;03/11/2021;34,2
Aniene a Subiaco ;04/11/2021;15,2
Aniene a Subiaco ;05/11/2021;1,6
Aniene a Subiaco ;06/11/2021;4
Aniene a Subiaco ;07/11/2021;0,6
Aniene a Subiaco ;08/11/2021;4
Aniene a Subiaco ;09/11/2021;0,2
Aniene a Subiaco ;10/11/2021;3,8
Aniene a Subiaco ;11/11/2021;0,6
Aniene a Subiaco ;12/11/2021;3,4
Aniene a Subiaco ;13/11/2021;0
Aniene a Subiaco ;14/11/2021;0,6
Aniene a Subiaco ;15/11/2021;0,2
Aniene a Subiaco ;16/11/2021;10,4
Aniene a Subiaco ;17/11/2021;0,2
Aniene a Subiaco ;18/11/2021;0
Aniene a Subiaco ;19/11/2021;0
Aniene a Subiaco ;20/11/2021;0
Aniene a Subiaco ;21/11/2021;0
Aniene a Subiaco ;22/11/2021;1,6
Aniene a Subiaco ;23/11/2021;0,2
Aniene a Subiaco ;24/11/2021;0
Aniene a Subiaco ;25/11/2021;25,9
Aniene a Subiaco ;26/11/2021;18,6
Aniene a Subiaco ;27/11/2021;11
Aniene a Subiaco ;28/11/2021;15,4
Aniene a Subiaco ;29/11/2021;5,6
Aniene a Subiaco ;30/11/2021;0,4
Anzio ;01/11/2021;24,4
Anzio ;02/11/2021;0
Anzio ;03/11/2021;11,2
Anzio ;04/11/2021;5,6
Anzio ;05/11/2021;0,2
Anzio ;06/11/2021;2,2
Anzio ;07/11/2021;0
Anzio ;08/11/2021;12
Anzio ;09/11/2021;2,2
Anzio ;10/11/2021;10
Anzio ;11/11/2021;41,2
Anzio ;12/11/2021;29,4
