Stazione	Data	Dato pluviometrico giornaliero 0-24
Abbadia S.Salvatore 	01/10/2020	0
Abbadia S.Salvatore 	02/10/2020	0
Abbadia S.Salvatore 	03/10/2020	33
Abbadia S.Salvatore 	04/10/2020	25,7
Abbadia S.Salvatore 	05/10/2020	27,4
Abbadia S.Salvatore 	06/10/2020	0
Abbadia S.Salvatore 	07/10/2020	37,9
Abbadia S.Salvatore 	08/10/2020	0
Abbadia S.Salvatore 	09/10/2020	0
Abbadia S.Salvatore 	10/10/2020	0
Abbadia S.Salvatore 	11/10/2020	2
Abbadia S.Salvatore 	12/10/2020	8,8
Abbadia S.Salvatore 	13/10/2020	0
Abbadia S.Salvatore 	14/10/2020	33,1
Abbadia S.Salvatore 	15/10/2020	19,5
Abbadia S.Salvatore 	16/10/2020	0,6
Abbadia S.Salvatore 	17/10/2020	0
Abbadia S.Salvatore 	18/10/2020	0
Abbadia S.Salvatore 	19/10/2020	0
Abbadia S.Salvatore 	20/10/2020	0
Abbadia S.Salvatore 	21/10/2020	0
Abbadia S.Salvatore 	22/10/2020	0
Abbadia S.Salvatore 	23/10/2020	1
Abbadia S.Salvatore 	24/10/2020	62,9
Abbadia S.Salvatore 	25/10/2020	0
Abbadia S.Salvatore 	26/10/2020	22,4
Abbadia S.Salvatore 	27/10/2020	1,4
Abbadia S.Salvatore 	28/10/2020	0
Abbadia S.Salvatore 	29/10/2020	0
Abbadia S.Salvatore 	30/10/2020	0
Abbadia S.Salvatore 	31/10/2020	0
Abbazia Trisulti 	01/10/2020	0
Abbazia Trisulti 	02/10/2020	0
Abbazia Trisulti 	03/10/2020	10,4
Abbazia Trisulti 	04/10/2020	0,2
Abbazia Trisulti 	05/10/2020	7
Abbazia Trisulti 	06/10/2020	0
Abbazia Trisulti 	07/10/2020	43,6
Abbazia Trisulti 	08/10/2020	0
Abbazia Trisulti 	09/10/2020	0
Abbazia Trisulti 	10/10/2020	0
Abbazia Trisulti 	11/10/2020	41,2
Abbazia Trisulti 	12/10/2020	2
Abbazia Trisulti 	13/10/2020	5,2
Abbazia Trisulti 	14/10/2020	23,2
Abbazia Trisulti 	15/10/2020	47,6
Abbazia Trisulti 	16/10/2020	12,8
Abbazia Trisulti 	17/10/2020	1
Abbazia Trisulti 	18/10/2020	0
Abbazia Trisulti 	19/10/2020	0
Abbazia Trisulti 	20/10/2020	0
Abbazia Trisulti 	21/10/2020	0
Abbazia Trisulti 	22/10/2020	0
Abbazia Trisulti 	23/10/2020	0
Abbazia Trisulti 	24/10/2020	25,6
Abbazia Trisulti 	25/10/2020	0,4
Abbazia Trisulti 	26/10/2020	0
Abbazia Trisulti 	27/10/2020	10,8
Abbazia Trisulti 	28/10/2020	0
Abbazia Trisulti 	29/10/2020	0
Abbazia Trisulti 	30/10/2020	0
Abbazia Trisulti 	31/10/2020	0
Acilia 	01/10/2020	0
Acilia 	02/10/2020	0
Acilia 	03/10/2020	4,6
Acilia 	04/10/2020	0,2
Acilia 	05/10/2020	0,4
Acilia 	06/10/2020	0
Acilia 	07/10/2020	4,4
Acilia 	08/10/2020	0
Acilia 	09/10/2020	0
Acilia 	10/10/2020	0
Acilia 	11/10/2020	6,6
Acilia 	12/10/2020	6,8
Acilia 	13/10/2020	0
Acilia 	14/10/2020	4,6
Acilia 	15/10/2020	13,6
Acilia 	16/10/2020	8,4
Acilia 	17/10/2020	1,2
Acilia 	18/10/2020	0
Acilia 	19/10/2020	0
Acilia 	20/10/2020	0
Acilia 	21/10/2020	0
Acilia 	22/10/2020	0
Acilia 	23/10/2020	0
Acilia 	24/10/2020	4,6
Acilia 	25/10/2020	0
Acilia 	26/10/2020	1,2
Acilia 	27/10/2020	1,4
Acilia 	28/10/2020	0
Acilia 	29/10/2020	0
Acilia 	30/10/2020	0
Acilia 	31/10/2020	0
Acqua Acetosa 	01/10/2020	0
Acqua Acetosa 	02/10/2020	0
Acqua Acetosa 	03/10/2020	6
Acqua Acetosa 	04/10/2020	0,2
Acqua Acetosa 	05/10/2020	3,4
Acqua Acetosa 	06/10/2020	0
Acqua Acetosa 	07/10/2020	4
Acqua Acetosa 	08/10/2020	0
Acqua Acetosa 	09/10/2020	0
Acqua Acetosa 	10/10/2020	0
Acqua Acetosa 	11/10/2020	9,4
Acqua Acetosa 	12/10/2020	0,2
Acqua Acetosa 	13/10/2020	0
Acqua Acetosa 	14/10/2020	8,4
Acqua Acetosa 	15/10/2020	16,2
Acqua Acetosa 	16/10/2020	5,2
Acqua Acetosa 	17/10/2020	5,2
Acqua Acetosa 	18/10/2020	0
Acqua Acetosa 	19/10/2020	0,2
Acqua Acetosa 	20/10/2020	0
Acqua Acetosa 	21/10/2020	0
Acqua Acetosa 	22/10/2020	0
Acqua Acetosa 	23/10/2020	0
Acqua Acetosa 	24/10/2020	7,4
Acqua Acetosa 	25/10/2020	0,2
Acqua Acetosa 	26/10/2020	1,2
Acqua Acetosa 	27/10/2020	2,2
Acqua Acetosa 	28/10/2020	0
Acqua Acetosa 	29/10/2020	0
Acqua Acetosa 	30/10/2020	0
Acqua Acetosa 	31/10/2020	0
Acquapendente 	01/10/2020	0
Acquapendente 	02/10/2020	0
Acquapendente 	03/10/2020	28,4
Acquapendente 	04/10/2020	2,4
Acquapendente 	05/10/2020	2,2
Acquapendente 	06/10/2020	0
Acquapendente 	07/10/2020	14,4
Acquapendente 	08/10/2020	0,2
Acquapendente 	09/10/2020	0
Acquapendente 	10/10/2020	0
Acquapendente 	11/10/2020	0
Acquapendente 	12/10/2020	1
Acquapendente 	13/10/2020	0
Acquapendente 	14/10/2020	20,2
Acquapendente 	15/10/2020	5,6
Acquapendente 	16/10/2020	0,4
Acquapendente 	17/10/2020	0,4
Acquapendente 	18/10/2020	0,2
Acquapendente 	19/10/2020	0
Acquapendente 	20/10/2020	0
Acquapendente 	21/10/2020	0
Acquapendente 	22/10/2020	0
Acquapendente 	23/10/2020	0
Acquapendente 	24/10/2020	3,8
Acquapendente 	25/10/2020	0
Acquapendente 	26/10/2020	3,8
Acquapendente 	27/10/2020	0,6
Acquapendente 	28/10/2020	0
Acquapendente 	29/10/2020	0
Acquapendente 	30/10/2020	0
Acquapendente 	31/10/2020	0
Allumiere 	01/10/2020	0,4
Allumiere 	02/10/2020	0
Allumiere 	03/10/2020	26,3
Allumiere 	04/10/2020	0,4
Allumiere 	05/10/2020	12,9
Allumiere 	06/10/2020	0
Allumiere 	07/10/2020	2,2
Allumiere 	08/10/2020	0
Allumiere 	09/10/2020	0
Allumiere 	10/10/2020	0
Allumiere 	11/10/2020	1,6
Allumiere 	12/10/2020	0,4
Allumiere 	13/10/2020	0
Allumiere 	14/10/2020	44,6
Allumiere 	15/10/2020	10,2
Allumiere 	16/10/2020	3,6
Allumiere 	17/10/2020	0,2
Allumiere 	18/10/2020	0
Allumiere 	19/10/2020	0
Allumiere 	20/10/2020	0
Allumiere 	21/10/2020	0
Allumiere 	22/10/2020	0
Allumiere 	23/10/2020	0
Allumiere 	24/10/2020	4,4
Allumiere 	25/10/2020	0
Allumiere 	26/10/2020	4,1
Allumiere 	27/10/2020	0,8
Allumiere 	28/10/2020	0
Allumiere 	29/10/2020	0
Allumiere 	30/10/2020	0
Allumiere 	31/10/2020	0
Amaseno a Fossanova 	01/10/2020	0
Amaseno a Fossanova 	02/10/2020	0,2
Amaseno a Fossanova 	03/10/2020	4,1
Amaseno a Fossanova 	04/10/2020	0,2
Amaseno a Fossanova 	05/10/2020	6,2
Amaseno a Fossanova 	06/10/2020	0
Amaseno a Fossanova 	07/10/2020	17,9
Amaseno a Fossanova 	08/10/2020	0,2
Amaseno a Fossanova 	09/10/2020	0
Amaseno a Fossanova 	10/10/2020	0,2
Amaseno a Fossanova 	11/10/2020	40,7
Amaseno a Fossanova 	12/10/2020	3,8
Amaseno a Fossanova 	13/10/2020	0,2
Amaseno a Fossanova 	14/10/2020	18,4
Amaseno a Fossanova 	15/10/2020	15,3
Amaseno a Fossanova 	16/10/2020	6,4
Amaseno a Fossanova 	17/10/2020	3,8
Amaseno a Fossanova 	18/10/2020	0,2
Amaseno a Fossanova 	19/10/2020	0
Amaseno a Fossanova 	20/10/2020	0,2
Amaseno a Fossanova 	21/10/2020	0,2
Amaseno a Fossanova 	22/10/2020	0
Amaseno a Fossanova 	23/10/2020	0
Amaseno a Fossanova 	24/10/2020	9,6
