Stazione;Data;Dato pluviometrico giornaliero 0-24
Abbadia S.Salvatore ;01/10/2021;0
Abbadia S.Salvatore ;02/10/2021;0
Abbadia S.Salvatore ;03/10/2021;0,4
Abbadia S.Salvatore ;04/10/2021;28,5
Abbadia S.Salvatore ;05/10/2021;0
Abbadia S.Salvatore ;06/10/2021;11,3
Abbadia S.Salvatore ;07/10/2021;8
Abbadia S.Salvatore ;08/10/2021;0
Abbadia S.Salvatore ;09/10/2021;0
Abbadia S.Salvatore ;10/10/2021;0
Abbadia S.Salvatore ;11/10/2021;0,2
Abbadia S.Salvatore ;12/10/2021;0
Abbadia S.Salvatore ;13/10/2021;0
Abbadia S.Salvatore ;14/10/2021;0
Abbadia S.Salvatore ;15/10/2021;0
Abbadia S.Salvatore ;16/10/2021;0
Abbadia S.Salvatore ;17/10/2021;0
Abbadia S.Salvatore ;18/10/2021;0
Abbadia S.Salvatore ;19/10/2021;0
Abbadia S.Salvatore ;20/10/2021;0
Abbadia S.Salvatore ;21/10/2021;0
Abbadia S.Salvatore ;22/10/2021;3,2
Abbadia S.Salvatore ;23/10/2021;0,6
Abbadia S.Salvatore ;24/10/2021;0
Abbadia S.Salvatore ;25/10/2021;0
Abbadia S.Salvatore ;26/10/2021;0
Abbadia S.Salvatore ;27/10/2021;0
Abbadia S.Salvatore ;28/10/2021;0
Abbadia S.Salvatore ;29/10/2021;0
Abbadia S.Salvatore ;30/10/2021;0
Abbadia S.Salvatore ;31/10/2021;1,4
Abbazia Trisulti ;01/10/2021;18,6
Abbazia Trisulti ;02/10/2021;0
Abbazia Trisulti ;03/10/2021;0
Abbazia Trisulti ;04/10/2021;0
Abbazia Trisulti ;05/10/2021;3,8
Abbazia Trisulti ;06/10/2021;20,6
Abbazia Trisulti ;07/10/2021;2,2
Abbazia Trisulti ;08/10/2021;0
Abbazia Trisulti ;09/10/2021;1,6
Abbazia Trisulti ;10/10/2021;3,6
Abbazia Trisulti ;11/10/2021;0,6
Abbazia Trisulti ;12/10/2021;0
Abbazia Trisulti ;13/10/2021;0
Abbazia Trisulti ;14/10/2021;0
Abbazia Trisulti ;15/10/2021;0
Abbazia Trisulti ;16/10/2021;0
Abbazia Trisulti ;17/10/2021;0
Abbazia Trisulti ;18/10/2021;0
Abbazia Trisulti ;19/10/2021;0
Abbazia Trisulti ;20/10/2021;0
Abbazia Trisulti ;21/10/2021;0
Abbazia Trisulti ;22/10/2021;0,2
Abbazia Trisulti ;23/10/2021;8
Abbazia Trisulti ;24/10/2021;0
Abbazia Trisulti ;25/10/2021;0
Abbazia Trisulti ;26/10/2021;5,2
Abbazia Trisulti ;27/10/2021;0
Abbazia Trisulti ;28/10/2021;0
Abbazia Trisulti ;29/10/2021;0
Abbazia Trisulti ;30/10/2021;0
Abbazia Trisulti ;31/10/2021;1,2
Acilia ;01/10/2021;0
Acilia ;02/10/2021;0
Acilia ;03/10/2021;0,2
Acilia ;04/10/2021;1,4
Acilia ;05/10/2021;39,8
Acilia ;06/10/2021;3,4
Acilia ;07/10/2021;0
Acilia ;08/10/2021;0
Acilia ;09/10/2021;0
Acilia ;10/10/2021;0
Acilia ;11/10/2021;4,4
Acilia ;12/10/2021;0
Acilia ;13/10/2021;0
Acilia ;14/10/2021;0
Acilia ;15/10/2021;0
Acilia ;16/10/2021;0
Acilia ;17/10/2021;0
Acilia ;18/10/2021;0
Acilia ;19/10/2021;0
Acilia ;20/10/2021;0
Acilia ;21/10/2021;0
Acilia ;22/10/2021;1,4
Acilia ;23/10/2021;5,6
Acilia ;24/10/2021;0
Acilia ;25/10/2021;0
Acilia ;26/10/2021;2,2
Acilia ;27/10/2021;0
Acilia ;28/10/2021;0
Acilia ;29/10/2021;0
Acilia ;30/10/2021;0
Acilia ;31/10/2021;0
Acqua Acetosa ;01/10/2021;0
Acqua Acetosa ;02/10/2021;0
Acqua Acetosa ;03/10/2021;0
Acqua Acetosa ;04/10/2021;0
Acqua Acetosa ;05/10/2021;13,6
Acqua Acetosa ;06/10/2021;6,4
Acqua Acetosa ;07/10/2021;0,4
Acqua Acetosa ;08/10/2021;0
Acqua Acetosa ;09/10/2021;0
Acqua Acetosa ;10/10/2021;0
Acqua Acetosa ;11/10/2021;3,6
Acqua Acetosa ;12/10/2021;0
Acqua Acetosa ;13/10/2021;0
Acqua Acetosa ;14/10/2021;0
Acqua Acetosa ;15/10/2021;0
Acqua Acetosa ;16/10/2021;0
Acqua Acetosa ;17/10/2021;0
Acqua Acetosa ;18/10/2021;0
Acqua Acetosa ;19/10/2021;0
Acqua Acetosa ;20/10/2021;0
Acqua Acetosa ;21/10/2021;0
Acqua Acetosa ;22/10/2021;0
Acqua Acetosa ;23/10/2021;4,6
Acqua Acetosa ;24/10/2021;0
Acqua Acetosa ;25/10/2021;0
Acqua Acetosa ;26/10/2021;3,2
Acqua Acetosa ;27/10/2021;0,2
Acqua Acetosa ;28/10/2021;0
Acqua Acetosa ;29/10/2021;0
Acqua Acetosa ;30/10/2021;0
Acqua Acetosa ;31/10/2021;0
Acquapendente ;01/10/2021;0
Acquapendente ;02/10/2021;0
Acquapendente ;03/10/2021;0,2
Acquapendente ;04/10/2021;10,8
Acquapendente ;05/10/2021;0,6
Acquapendente ;06/10/2021;2
Acquapendente ;07/10/2021;0,4
Acquapendente ;08/10/2021;0
Acquapendente ;09/10/2021;0
Acquapendente ;10/10/2021;0
Acquapendente ;11/10/2021;0
Acquapendente ;12/10/2021;0
Acquapendente ;13/10/2021;0
Acquapendente ;14/10/2021;0
Acquapendente ;15/10/2021;0
Acquapendente ;16/10/2021;0
