Stazione;Data;Dato pluviometrico giornaliero 0-24
Abbadia S.Salvatore ;01/09/2018;16,1
Abbadia S.Salvatore ;02/09/2018;2,2
Abbadia S.Salvatore ;03/09/2018;0,6
Abbadia S.Salvatore ;04/09/2018;0
Abbadia S.Salvatore ;05/09/2018;0
Abbadia S.Salvatore ;06/09/2018;0
Abbadia S.Salvatore ;07/09/2018;0,4
Abbadia S.Salvatore ;08/09/2018;0
Abbadia S.Salvatore ;09/09/2018;0
Abbadia S.Salvatore ;10/09/2018;0
Abbadia S.Salvatore ;11/09/2018;0
Abbadia S.Salvatore ;12/09/2018;0
Abbadia S.Salvatore ;13/09/2018;0
Abbadia S.Salvatore ;14/09/2018;0
Abbadia S.Salvatore ;15/09/2018;0
Abbadia S.Salvatore ;16/09/2018;0
Abbadia S.Salvatore ;17/09/2018;7,3
Abbadia S.Salvatore ;18/09/2018;17
Abbadia S.Salvatore ;19/09/2018;3
Abbadia S.Salvatore ;20/09/2018;0
Abbadia S.Salvatore ;21/09/2018;0,4
Abbadia S.Salvatore ;22/09/2018;0
Abbadia S.Salvatore ;23/09/2018;0
Abbadia S.Salvatore ;24/09/2018;0
Abbadia S.Salvatore ;25/09/2018;0
Abbadia S.Salvatore ;26/09/2018;0
Abbadia S.Salvatore ;27/09/2018;0
Abbadia S.Salvatore ;28/09/2018;0
Abbadia S.Salvatore ;29/09/2018;0
Abbadia S.Salvatore ;30/09/2018;0
Abbazia Trisulti ;01/09/2018;1,2
Abbazia Trisulti ;02/09/2018;0
Abbazia Trisulti ;03/09/2018;0,6
Abbazia Trisulti ;04/09/2018;0
Abbazia Trisulti ;05/09/2018;0
Abbazia Trisulti ;06/09/2018;0
Abbazia Trisulti ;07/09/2018;2
Abbazia Trisulti ;08/09/2018;0
Abbazia Trisulti ;09/09/2018;0,2
Abbazia Trisulti ;10/09/2018;0
Abbazia Trisulti ;11/09/2018;0
Abbazia Trisulti ;12/09/2018;0
Abbazia Trisulti ;13/09/2018;1,6
Abbazia Trisulti ;14/09/2018;0,4
Abbazia Trisulti ;15/09/2018;0
Abbazia Trisulti ;16/09/2018;0
Abbazia Trisulti ;17/09/2018;0
Abbazia Trisulti ;18/09/2018;15,2
Abbazia Trisulti ;19/09/2018;10,4
Abbazia Trisulti ;20/09/2018;9,4
Abbazia Trisulti ;21/09/2018;0
Abbazia Trisulti ;22/09/2018;0
Abbazia Trisulti ;23/09/2018;0
Abbazia Trisulti ;24/09/2018;0,6
Abbazia Trisulti ;25/09/2018;1
Abbazia Trisulti ;26/09/2018;0
Abbazia Trisulti ;27/09/2018;0
Abbazia Trisulti ;28/09/2018;0
Abbazia Trisulti ;29/09/2018;0
Abbazia Trisulti ;30/09/2018;0
Acilia ;01/09/2018;6
Acilia ;02/09/2018;0
Acilia ;03/09/2018;0
Acilia ;04/09/2018;0
Acilia ;05/09/2018;0
Acilia ;06/09/2018;0
Acilia ;07/09/2018;19
Acilia ;08/09/2018;0,2
Acilia ;09/09/2018;0
Acilia ;10/09/2018;0
Acilia ;11/09/2018;0
Acilia ;12/09/2018;0
Acilia ;13/09/2018;0
Acilia ;14/09/2018;0
Acilia ;15/09/2018;0
Acilia ;16/09/2018;0
Acilia ;17/09/2018;0
Acilia ;18/09/2018;1,4
Acilia ;19/09/2018;18,2
Acilia ;20/09/2018;12,4
Acilia ;21/09/2018;0
Acilia ;22/09/2018;0
Acilia ;23/09/2018;0
