Stazione;Data;Dato pluviometrico giornaliero 0-24
Abbadia S.Salvatore ;2018-09-01;16,1
Abbadia S.Salvatore ;2018-09-02;2,2
Abbadia S.Salvatore ;2018-09-03;0,6
Abbadia S.Salvatore ;2018-09-04;0
Abbadia S.Salvatore ;2018-09-05;0
Abbadia S.Salvatore ;2018-09-06;0
Abbadia S.Salvatore ;2018-09-07;0,4
Abbadia S.Salvatore ;2018-09-08;0
Abbadia S.Salvatore ;2018-09-09;0
Abbadia S.Salvatore ;2018-09-10;0
Abbadia S.Salvatore ;2018-09-11;0
Abbadia S.Salvatore ;2018-09-12;0
Abbadia S.Salvatore ;2018-09-13;0
Abbadia S.Salvatore ;2018-09-14;0
Abbadia S.Salvatore ;2018-09-15;0
Abbadia S.Salvatore ;2018-09-16;0
Abbadia S.Salvatore ;2018-09-17;7,3
Abbadia S.Salvatore ;2018-09-18;17
Abbadia S.Salvatore ;2018-09-19;3
Abbadia S.Salvatore ;2018-09-20;0
Abbadia S.Salvatore ;2018-09-21;0,4
Abbadia S.Salvatore ;2018-09-22;0
Abbadia S.Salvatore ;2018-09-23;0
Abbadia S.Salvatore ;2018-09-24;0
Abbadia S.Salvatore ;2018-09-25;0
Abbadia S.Salvatore ;2018-09-26;0
Abbadia S.Salvatore ;2018-09-27;0
Abbadia S.Salvatore ;2018-09-28;0
Abbadia S.Salvatore ;2018-09-29;0
Abbadia S.Salvatore ;2018-09-30;0
Abbazia Trisulti ;2018-09-01;1,2
Abbazia Trisulti ;2018-09-02;0
Abbazia Trisulti ;2018-09-03;0,6
Abbazia Trisulti ;2018-09-04;0
Abbazia Trisulti ;2018-09-05;0
Abbazia Trisulti ;2018-09-06;0
Abbazia Trisulti ;2018-09-07;2
Abbazia Trisulti ;2018-09-08;0
Abbazia Trisulti ;2018-09-09;0,2
Abbazia Trisulti ;2018-09-10;0
Abbazia Trisulti ;2018-09-11;0
Abbazia Trisulti ;2018-09-12;0
Abbazia Trisulti ;2018-09-13;1,6
Abbazia Trisulti ;2018-09-14;0,4
Abbazia Trisulti ;2018-09-15;0
Abbazia Trisulti ;2018-09-16;0
Abbazia Trisulti ;2018-09-17;0
Abbazia Trisulti ;2018-09-18;15,2
Abbazia Trisulti ;2018-09-19;10,4
Abbazia Trisulti ;2018-09-20;9,4
Abbazia Trisulti ;2018-09-21;0
Abbazia Trisulti ;2018-09-22;0
Abbazia Trisulti ;2018-09-23;0
Abbazia Trisulti ;2018-09-24;0,6
Abbazia Trisulti ;2018-09-25;1
Abbazia Trisulti ;2018-09-26;0
Abbazia Trisulti ;2018-09-27;0
Abbazia Trisulti ;2018-09-28;0
Abbazia Trisulti ;2018-09-29;0
Abbazia Trisulti ;2018-09-30;0
Acilia ;2018-09-01;6
Acilia ;2018-09-02;0
Acilia ;2018-09-03;0
Acilia ;2018-09-04;0
Acilia ;2018-09-05;0
Acilia ;2018-09-06;0
Acilia ;2018-09-07;19
Acilia ;2018-09-08;0,2
Acilia ;2018-09-09;0
Acilia ;2018-09-10;0
Acilia ;2018-09-11;0
Acilia ;2018-09-12;0
Acilia ;2018-09-13;0
Acilia ;2018-09-14;0
Acilia ;2018-09-15;0
Acilia ;2018-09-16;0
Acilia ;2018-09-17;0
Acilia ;2018-09-18;1,4
Acilia ;2018-09-19;18,2
Acilia ;2018-09-20;12,4
Acilia ;2018-09-21;0
Acilia ;2018-09-22;0
Acilia ;2018-09-23;0
Acilia ;2018-09-24;0
Acilia ;2018-09-25;2,6
Acilia ;2018-09-26;0
Acilia ;2018-09-27;0
Acilia ;2018-09-28;0
Acilia ;2018-09-29;0
Acilia ;2018-09-30;0
Acqua Acetosa ;2018-09-01;8
Acqua Acetosa ;2018-09-02;0
Acqua Acetosa ;2018-09-03;0,2
Acqua Acetosa ;2018-09-04;0
Acqua Acetosa ;2018-09-05;0
Acqua Acetosa ;2018-09-06;0
Acqua Acetosa ;2018-09-07;9,4
Acqua Acetosa ;2018-09-08;0
Acqua Acetosa ;2018-09-09;0
Acqua Acetosa ;2018-09-10;0
Acqua Acetosa ;2018-09-11;0
Acqua Acetosa ;2018-09-12;0
Acqua Acetosa ;2018-09-13;0,2
Acqua Acetosa ;2018-09-14;0
Acqua Acetosa ;2018-09-15;0
Acqua Acetosa ;2018-09-16;0
Acqua Acetosa ;2018-09-17;0
Acqua Acetosa ;2018-09-18;0,2
Acqua Acetosa ;2018-09-19;4
Acqua Acetosa ;2018-09-20;12,4
Acqua Acetosa ;2018-09-21;1,2
Acqua Acetosa ;2018-09-22;0,2
Acqua Acetosa ;2018-09-23;0
Acqua Acetosa ;2018-09-24;0
Acqua Acetosa ;2018-09-25;0
Acqua Acetosa ;2018-09-26;0
Acqua Acetosa ;2018-09-27;0
